Vehicle type,Vehicle speed,wind velocity,weather condition,status,,,,,,,,
microbus,20,33.4,sunny,rollover,,,,,,,,
microbus,30,33.1,sunny,rollover,,,,,,,,
microbus,40,32.6,sunny,rollover,,,,,,,,
microbus,50,32.1,sunny,rollover,,,,,,,,
microbus,60,31.8,sunny,rollover,,,,,,,,
microbus,70,30.7,sunny,rollover,,,,,,,,
microbus,80,30.2,sunny,rollover,,,,,,,,
microbus,90,29.3,sunny,rollover,,,,,,,,
microbus,100,28.1,sunny,rollover,,,,,,,,
microbus,110,27.5,sunny,rollover,,,,,,,,
microbus,120,26.4,sunny,rollover,,,,,,,,
microbus,20,27.4,sunny,ratating,,,,,,,,
microbus,30,26.9,sunny,ratating,,,,,,,,
microbus,40,26.1,sunny,ratating,,,,,,,,
microbus,50,25.6,sunny,ratating,,,,,,,,
microbus,60,24.8,sunny,ratating,,,,,,,,
microbus,70,23.2,sunny,ratating,,,,,,,,
microbus,80,22.3,sunny,ratating,,,,,,,,
microbus,90,21.7,sunny,ratating,,,,,,,,
microbus,100,20.5,sunny,ratating,,,,,,,,
microbus,110,19.2,sunny,ratating,,,,,,,,
microbus,120,18.5,sunny,ratating,,,,,,,,
microbus,20,32.1,sunny,sideslip,,,,,,,,
microbus,30,31.5,sunny,sideslip,,,,,,,,
microbus,40,31.3,sunny,sideslip,,,,,,,,
microbus,50,30.7,sunny,sideslip,,,,,,,,
microbus,60,29.8,sunny,sideslip,,,,,,,,
microbus,70,29.2,sunny,sideslip,,,,,,,,
microbus,80,28.3,sunny,sideslip,,,,,,,,
microbus,90,27.4,sunny,sideslip,,,,,,,,
microbus,100,26.6,sunny,sideslip,,,,,,,,
microbus,110,25.5,sunny,sideslip,,,,,,,,
microbus,120,25,sunny,sideslip,,,,,,,,
microbus,20,27.7,rainy,sideslip,,,,,,,,
microbus,30,27.1,rainy,sideslip,,,,,,,,
microbus,40,26.5,rainy,sideslip,,,,,,,,
microbus,50,26.1,rainy,sideslip,,,,,,,,
microbus,60,25.3,rainy,sideslip,,,,,,,,
microbus,70,24.6,rainy,sideslip,,,,,,,,
microbus,80,23.7,rainy,sideslip,,,,,,,,
microbus,90,22.5,rainy,sideslip,,,,,,,,
microbus,100,21.8,rainy,sideslip,,,,,,,,
